Data Time,X,Y,Z
2016/01/27 18:40:29.16,29153,38496,28481
2016/01/27 18:40:29.18,29105,38512,28401
2016/01/27 18:40:29.20,29089,38480,28449
2016/01/27 18:40:29.22,29057,38496,28417
2016/01/27 18:40:29.24,29105,38528,28545
2016/01/27 18:40:29.26,29105,38480,28529
2016/01/27 18:40:29.28,29105,38480,28513
2016/01/27 18:40:29.30,29041,38544,28529
2016/01/27 18:40:29.32,29025,38512,28385
2016/01/27 18:40:29.34,29041,38528,28417
2016/01/27 18:40:29.36,29041,38464,28545
2016/01/27 18:40:29.38,29089,38464,28529
2016/01/27 18:40:29.40,29105,38480,28401
2016/01/27 18:40:29.42,29089,38544,28385
2016/01/27 18:40:29.44,29041,38496,28497
2016/01/27 18:40:29.46,29057,38512,28529
2016/01/27 18:40:29.48,29041,38528,28433
2016/01/27 18:40:29.50,29105,38512,28449
2016/01/27 18:40:29.52,29105,38496,28513
2016/01/27 18:40:29.54,29057,38512,28561
2016/01/27 18:40:29.56,29073,38480,28481
2016/01/27 18:40:29.58,29025,38480,28449
2016/01/27 18:40:29.60,29041,38496,28433
2016/01/27 18:40:29.62,28993,38496,28481
2016/01/27 18:40:29.64,29009,38512,28481
2016/01/27 18:40:29.66,29025,38496,28465
2016/01/27 18:40:29.68,28993,38480,28465
2016/01/27 18:40:29.70,29025,38480,28433
2016/01/27 18:40:29.72,29057,38480,28449
2016/01/27 18:40:29.74,29041,38448,28481
2016/01/27 18:40:29.76,29025,38480,28465
2016/01/27 18:40:29.78,29009,38480,28433
2016/01/27 18:40:29.80,29041,38464,28417
2016/01/27 18:40:29.82,29009,38432,28449
2016/01/27 18:40:29.84,29025,38448,28433
2016/01/27 18:40:29.86,29025,38448,28417
2016/01/27 18:40:29.88,29041,38448,28417
2016/01/27 18:40:29.90,29009,38448,28433
2016/01/27 18:40:29.92,29025,38448,28433
2016/01/27 18:40:29.94,29041,38480,28433
2016/01/27 18:40:29.96,29041,38448,28449
2016/01/27 18:40:29.98,29041,38496,28481
2016/01/27 18:40:30.00,29009,38464,28337
2016/01/27 18:40:30.02,28945,38576,28289
2016/01/27 18:40:30.04,28849,38656,28257
2016/01/27 18:40:30.06,28817,38560,28321
2016/01/27 18:40:30.08,28721,38512,28433
2016/01/27 18:40:30.10,28817,38464,28449
2016/01/27 18:40:30.12,28897,38400,28577
2016/01/27 18:40:30.14,28897,38256,28721
2016/01/27 18:40:30.16,28977,38208,28849
2016/01/27 18:40:30.18,29025,38192,28977
2016/01/27 18:40:30.20,28897,38256,29025
2016/01/27 18:40:30.22,28817,38336,29153
2016/01/27 18:40:30.24,28881,38432,29265
2016/01/27 18:40:30.26,29009,38496,29201
2016/01/27 18:40:30.28,29153,38688,29105
2016/01/27 18:40:30.30,29265,38864,29185
2016/01/27 18:40:30.32,29425,39088,29345
2016/01/27 18:40:30.34,29681,39328,29649
2016/01/27 18:40:30.36,29857,39664,30081
2016/01/27 18:40:30.38,29713,40080,30273
2016/01/27 18:40:30.40,29217,40416,30001
2016/01/27 18:40:30.42,28625,40688,29601
2016/01/27 18:40:30.44,28193,40800,29313
2016/01/27 18:40:30.46,28641,40512,29137
2016/01/27 18:40:30.48,29345,40128,29281
2016/01/27 18:40:30.50,29905,39648,29505
2016/01/27 18:40:30.52,30161,39504,29601
2016/01/27 18:40:30.54,30337,39344,29713
2016/01/27 18:40:30.56,30273,39456,29633
2016/01/27 18:40:30.58,30129,39568,29281
2016/01/27 18:40:30.60,29969,39648,28929
2016/01/27 18:40:30.62,29857,39872,28737
2016/01/27 18:40:30.64,29745,39600,28609
2016/01/27 18:40:30.66,29425,39504,28449
2016/01/27 18:40:30.68,29281,39248,28433
2016/01/27 18:40:30.70,29297,38816,28401
